event_id,timestamp,pod,log_message,trust_score,identity_valid,runtime_anomaly,trace_path_consistent,invocation_frequency,namespace_violation,process_anomaly,connection_score,ground_truth_label,event_type,data_source,tetragon_events_in_window
0,2026-06-09T04:28:35.510881+00:00,order-service,Payment service call completed,0.48868,True,True,True,8.7,False,False,0.0678,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,87
1,2026-06-09T04:28:35.510881+00:00,payment-service,User profile lookup completed,0.850299,True,False,True,7.0,False,False,0.3429,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,70
2,2026-06-09T04:28:35.510881+00:00,user-profile-service,Profile lookup completed,0.78728,True,False,True,5.3,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,53
3,2026-06-09T04:28:45.510881+00:00,user-profile-service,Profile lookup completed,0.466193,True,True,True,11.0,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,110
4,2026-06-09T04:28:45.510881+00:00,order-service,Payment service call completed,0.440963,True,True,True,17.5,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,175
5,2026-06-09T04:28:45.510881+00:00,payment-service,User profile lookup completed,0.43747,True,True,True,18.4,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,184
6,2026-06-09T04:28:55.510881+00:00,user-profile-service,Profile lookup completed,0.78944,True,False,True,4.4,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,44
7,2026-06-09T04:28:55.510881+00:00,order-service,Payment service call completed,0.477667,True,True,True,11.8,False,False,0.0729,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,118
8,2026-06-09T04:28:55.510881+00:00,payment-service,User profile lookup completed,0.47832,True,True,True,11.4,False,False,0.0684,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,114
9,2026-06-09T04:29:05.510881+00:00,order-service,Payment service call completed,0.47832,True,True,True,11.4,False,False,0.0684,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,114
10,2026-06-09T04:29:05.510881+00:00,payment-service,User profile lookup completed,0.476301,True,True,True,10.9,False,False,0.0486,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,109
11,2026-06-09T04:29:05.510881+00:00,user-profile-service,Profile lookup completed,0.78776,True,False,True,5.1,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,51
12,2026-06-09T04:29:15.510881+00:00,order-service,Payment service call completed,0.476713,True,True,True,10.5,False,False,0.0429,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,105
13,2026-06-09T04:29:15.510881+00:00,user-profile-service,Profile lookup completed,0.78752,True,False,True,5.2,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,52
14,2026-06-09T04:29:15.510881+00:00,payment-service,User profile lookup completed,0.466199,True,True,True,14.6,False,False,0.0699,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,146
15,2026-06-09T04:29:25.510881+00:00,user-profile-service,Profile lookup completed,0.79088,True,False,True,3.8,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,38
16,2026-06-09T04:29:25.510881+00:00,payment-service,User profile lookup completed,0.479142,True,True,True,9.9,False,False,0.0434,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,99
17,2026-06-09T04:29:25.510881+00:00,order-service,Payment service call completed,0.85226,True,False,True,5.5,False,False,0.3273,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,55
18,2026-06-09T04:29:35.510881+00:00,user-profile-service,Profile lookup completed,0.79088,True,False,True,3.8,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,38
19,2026-06-09T04:29:35.510881+00:00,order-service,Payment service call completed,0.484743,True,True,True,9.4,False,False,0.0617,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,94
