event_id,log_message,trust_score,identity_valid,runtime_anomaly,trace_path_consistent,invocation_frequency,namespace_violation,process_anomaly,connection_score,ground_truth_label,event_type
0,Request forwarded to user-profile-service,0.718759,True,False,False,1.766473,False,False,0.888997,0,BENIGN
1,Service mesh routing applied to request,0.859742,True,False,True,1.931774,False,False,0.691782,0,BENIGN
2,Health check passed for pod user-profile-7f4d,0.860909,True,True,True,0.5,False,False,0.753712,0,BENIGN
3,Metric exported to prometheus endpoint,0.796544,True,False,True,1.863224,False,False,0.843432,0,BENIGN
4,Health check passed for pod user-profile-7f4d,0.90676,True,False,True,1.251514,False,False,0.957436,0,BENIGN
5,Service request processed successfully,0.988252,True,False,True,2.462188,False,False,0.873527,0,BENIGN
6,Health check passed for pod user-profile-7f4d,0.745153,True,False,True,3.328103,False,False,0.86119,0,BENIGN
7,gRPC call to payment-service returned 200,0.841643,True,False,True,3.128079,False,False,0.829778,0,BENIGN
8,Database query executed in 12ms,0.845411,True,False,True,3.67572,False,False,0.860933,0,BENIGN
9,Namespace policy check passed,0.902774,True,False,True,2.701181,False,False,0.696151,0,BENIGN
10,gRPC call to payment-service returned 200,0.909298,True,False,True,2.322085,False,False,0.72954,0,BENIGN
11,Connection established to downstream service,0.814853,True,False,True,2.946953,False,False,0.850019,0,BENIGN
12,Health check passed for pod user-profile-7f4d,0.744537,True,False,True,3.45018,False,False,0.740665,0,BENIGN
13,Database query executed in 12ms,0.882862,True,False,True,2.993396,False,False,0.827776,0,BENIGN
14,Request processed in 23ms,0.742094,True,False,True,1.912795,False,False,0.884131,0,BENIGN
15,Request forwarded to user-profile-service,0.781046,True,False,True,2.603922,False,False,0.761672,0,BENIGN
16,Metric exported to prometheus endpoint,0.861534,True,False,True,1.775028,False,False,0.839939,0,BENIGN
17,TLS handshake completed successfully,0.942,True,False,True,3.999089,False,False,0.897794,0,BENIGN
18,Health check passed for pod user-profile-7f4d,0.756855,True,False,True,1.883201,False,False,0.799335,0,BENIGN
19,Request processed in 23ms,0.859884,True,False,True,2.616125,False,False,0.713383,0,BENIGN
20,Token validated for service account payment-svc,0.789529,True,False,True,2.161552,True,False,0.857018,0,BENIGN
21,Namespace policy check passed,0.919985,True,False,True,3.753859,False,False,0.810071,0,BENIGN
22,Service mesh routing applied to request,0.870616,True,False,True,4.035696,False,False,0.843855,0,BENIGN
23,Service mesh routing applied to request,0.858018,True,False,True,2.644619,False,False,0.788638,0,BENIGN
24,Request routed to backend service,0.497177,True,False,False,6.713048,False,True,0.475826,1,STEALTH_ATTACK
25,Connection established to downstream service,0.757893,True,False,True,1.96314,False,False,0.820953,0,BENIGN
26,Security policy violation: cross-boundary access rejected,0.226258,False,True,False,31.460025,True,True,0.237142,1,OBVIOUS_ATTACK
27,gRPC call to payment-service returned 200,0.801662,True,False,True,1.374301,False,False,0.803969,0,BENIGN
28,Service request processed successfully,0.437423,True,False,True,5.340562,False,False,0.554911,1,STEALTH_ATTACK
29,User authentication completed for service account order-svc,0.79967,True,True,True,1.249528,False,False,0.991255,0,BENIGN
30,Database query executed in 12ms,0.782006,True,False,True,1.330206,False,False,0.937233,0,BENIGN
31,gRPC call to payment-service returned 200,0.750087,True,False,True,2.578454,False,False,0.920711,0,BENIGN
32,Request processed in 45ms,0.556424,True,False,True,6.761516,True,False,0.478115,1,STEALTH_ATTACK
33,Service routing policy applied,0.636307,True,False,False,4.7817,True,True,0.433599,1,STEALTH_ATTACK
34,Token validated for service account payment-svc,0.901106,True,False,True,2.129897,False,False,0.861862,0,BENIGN
35,Health check passed for pod user-profile-7f4d,0.832908,True,False,True,3.436929,False,False,0.902699,0,BENIGN
36,Token validated for service account payment-svc,0.778315,True,False,True,2.139771,False,False,0.830952,0,BENIGN
37,ALERT: Privilege escalation attempt detected in container,0.132541,True,True,False,39.083753,True,True,0.166907,1,OBVIOUS_ATTACK
38,Request processed in 45ms,0.533311,False,True,True,7.371886,False,True,0.634956,1,STEALTH_ATTACK
39,Service request processed successfully,0.997028,True,False,True,1.984645,False,False,0.711084,0,BENIGN
40,Metric exported to prometheus endpoint,0.836886,False,True,True,0.996669,False,False,0.832814,0,BENIGN
41,Invalid JWT signature - authentication failed for service,0.269746,False,True,False,22.767273,True,True,0.096739,1,OBVIOUS_ATTACK
42,Token validated for service account payment-svc,0.923766,True,False,True,2.912038,False,False,1.0,0,BENIGN
43,gRPC call to payment-service returned 200,0.810868,True,False,True,1.525208,False,False,0.748777,0,BENIGN
44,Namespace policy check passed,0.86457,True,False,True,1.644411,False,False,0.832839,0,BENIGN
45,UNAUTHORIZED: Token replay detected from unknown source,0.047665,False,True,False,32.629116,True,False,0.233128,1,OBVIOUS_ATTACK
46,Token validated for service account payment-svc,0.78718,True,False,True,3.503725,False,False,0.95573,0,BENIGN
47,Request routed to backend service,0.425519,True,False,False,5.134443,False,True,0.5914,1,STEALTH_ATTACK
48,Health check passed for pod user-profile-7f4d,0.812466,True,False,True,2.036252,False,False,0.897528,0,BENIGN
49,Service mesh routing applied to request,0.707197,True,False,True,3.679487,False,False,0.794249,0,BENIGN
50,API call completed with expected response,0.472659,False,False,True,6.299569,False,True,0.416763,1,STEALTH_ATTACK
51,Service health check passed,0.482702,True,True,True,5.009519,True,False,0.531312,1,STEALTH_ATTACK
52,Namespace policy check passed,0.759661,True,False,True,3.056723,False,False,0.955119,0,BENIGN
53,Connection established to downstream service,0.860221,True,False,True,3.128408,False,False,0.854263,0,BENIGN
54,Health check passed for pod user-profile-7f4d,0.799829,True,False,True,1.494958,False,False,0.87842,0,BENIGN
55,Health check passed for pod user-profile-7f4d,0.85052,True,False,True,2.439428,False,False,0.866603,0,BENIGN
56,Cache hit for request id 8821,0.817445,True,False,True,2.711004,False,False,0.790884,0,BENIGN
57,Request processed in 23ms,0.811703,True,False,True,2.630859,False,False,0.949598,0,BENIGN
58,Request processed in 23ms,0.809182,True,False,True,3.249403,False,True,0.881829,0,BENIGN
59,Token validated for service account payment-svc,0.841466,True,False,True,1.935922,False,False,0.912094,0,BENIGN
60,Request forwarded to user-profile-service,0.850753,True,False,True,2.263615,False,False,0.893613,0,BENIGN
61,Replay attack detected: token already consumed,0.067108,False,False,False,28.05651,True,True,0.136279,1,OBVIOUS_ATTACK
62,Rejected request: unknown service identity presented,0.135999,False,True,False,19.992681,True,False,0.187789,1,OBVIOUS_ATTACK
63,Invalid JWT signature - authentication failed for service,0.128241,False,True,False,32.566573,True,False,0.223328,1,OBVIOUS_ATTACK
64,Service request processed successfully,0.783185,True,False,True,3.193784,False,False,0.897089,0,BENIGN
65,Service request processed successfully,0.840272,True,False,True,3.463201,False,True,0.79801,0,BENIGN
66,Connection established to downstream service,0.790802,True,False,True,3.101537,False,False,0.776635,0,BENIGN
67,gRPC call to payment-service returned 200,0.881788,True,False,True,3.654913,False,False,0.758168,0,BENIGN
68,Service mesh routing applied to request,0.865912,True,False,True,2.548384,False,False,0.866187,0,BENIGN
69,Service request processed successfully,0.52872,True,False,False,6.751182,False,False,0.295676,1,STEALTH_ATTACK
70,TLS handshake completed successfully,0.78291,True,False,True,1.365713,False,False,0.877499,0,BENIGN
71,Namespace policy check passed,0.947013,True,False,True,3.306882,False,False,0.70549,0,BENIGN
72,gRPC call to payment-service returned 200,0.871219,True,False,True,2.350285,False,True,0.899001,0,BENIGN
73,Namespace policy check passed,0.801073,True,False,True,3.50177,False,False,0.73847,0,BENIGN
74,gRPC call to payment-service returned 200,0.887285,True,False,True,3.152977,False,False,0.7559,0,BENIGN
75,Request forwarded to user-profile-service,0.896816,True,False,True,1.611049,False,False,0.730555,0,BENIGN
76,TLS handshake completed successfully,0.879223,True,False,True,3.373685,False,False,0.791647,0,BENIGN
77,User authentication completed for service account order-svc,0.932825,True,False,True,0.5,False,False,0.771263,0,BENIGN
78,Database query executed in 12ms,0.903182,True,False,True,2.610616,False,False,0.855518,0,BENIGN
79,Namespace policy check passed,0.854071,True,False,True,2.361738,False,False,0.882444,0,BENIGN
80,Metric exported to prometheus endpoint,0.812116,True,False,True,2.615613,False,False,0.855516,0,BENIGN
81,Connection established to downstream service,0.819609,True,False,True,2.66433,False,False,0.827213,0,BENIGN
82,Service identity mismatch detected - request blocked,0.221917,False,True,False,11.314781,True,True,0.200473,1,OBVIOUS_ATTACK
83,Token validated for service account payment-svc,0.748537,True,False,True,0.5,False,False,0.932442,0,BENIGN
84,Namespace policy check passed,0.818146,True,False,True,2.774759,False,False,0.896224,0,BENIGN
85,Namespace policy check passed,0.967434,True,False,True,2.285681,False,False,0.780386,0,BENIGN
86,Request processed in 23ms,0.869013,True,False,True,2.244408,False,False,0.868001,0,BENIGN
87,Request forwarded to user-profile-service,0.948247,False,False,True,2.221454,False,False,0.845448,0,BENIGN
88,API call completed with expected response,0.539998,True,False,True,5.658127,False,True,0.61317,1,STEALTH_ATTACK
89,Replay attack detected: token already consumed,0.083746,True,True,False,29.027328,True,False,0.09642,1,OBVIOUS_ATTACK
90,ALERT: Privilege escalation attempt detected in container,0.180258,False,True,False,26.523942,True,True,0.084019,1,OBVIOUS_ATTACK
91,Cache hit for request id 8821,0.923888,False,False,True,4.700578,False,False,0.872586,0,BENIGN
92,Service mesh routing applied to request,0.902701,True,False,True,1.477582,False,False,0.714938,0,BENIGN
93,gRPC call to payment-service returned 200,0.898969,True,False,True,2.353045,False,False,0.853591,0,BENIGN
94,Service request processed successfully,0.918486,True,False,True,1.811846,False,False,0.990634,0,BENIGN
95,Connection established successfully,0.508606,True,True,True,5.561298,False,True,0.535981,1,STEALTH_ATTACK
96,Token validated for service account payment-svc,0.856638,True,False,True,3.230509,False,False,0.825241,0,BENIGN
97,Health check passed for pod user-profile-7f4d,0.782375,True,False,True,2.327965,False,False,0.832642,0,BENIGN
98,Request forwarded to user-profile-service,0.793698,True,False,True,3.050613,False,False,0.758499,0,BENIGN
99,Cache hit for request id 8821,0.995278,True,False,True,3.917902,False,False,0.802114,0,BENIGN
100,Request forwarded to user-profile-service,0.764188,True,False,True,2.100982,False,False,0.792372,0,BENIGN
101,Cache hit for request id 8821,0.784725,True,False,True,3.083453,False,False,0.825574,0,BENIGN
102,Request forwarded to user-profile-service,0.829959,True,False,True,2.609687,False,False,0.853371,0,BENIGN
103,Service identity mismatch detected - request blocked,0.194268,False,False,False,20.238034,True,True,0.224044,1,OBVIOUS_ATTACK
104,Token validated for service account payment-svc,0.901355,True,False,True,4.317948,False,False,0.892233,0,BENIGN
105,gRPC call to payment-service returned 200,0.860141,True,False,True,2.008182,False,False,0.815221,0,BENIGN
106,Service request processed successfully,0.922146,True,False,True,3.706451,False,False,0.908602,0,BENIGN
107,Database query executed in 12ms,0.797393,False,False,True,2.244074,False,False,0.927358,0,BENIGN
108,gRPC call completed with status 200,0.490409,True,False,False,4.446941,False,False,0.516565,1,STEALTH_ATTACK
109,Service mesh routing applied to request,0.824578,True,False,True,2.326865,False,False,0.845669,0,BENIGN
110,Token validated for service account payment-svc,0.830979,True,False,True,1.004215,False,False,0.799231,0,BENIGN
111,Database query executed in 12ms,0.756614,True,False,True,2.862652,False,False,0.818201,0,BENIGN
112,Replay attack detected: token already consumed,0.11203,False,True,False,36.310951,True,True,0.153336,1,OBVIOUS_ATTACK
113,TLS handshake completed successfully,0.871031,True,False,True,3.159384,False,False,0.814781,0,BENIGN
114,Connection established to downstream service,0.907162,True,False,True,4.072883,False,False,0.910248,0,BENIGN
115,Token validated for service account payment-svc,0.939694,True,False,False,3.334094,False,False,0.818929,0,BENIGN
116,Connection established to downstream service,0.835796,True,False,True,3.793313,False,False,0.641658,0,BENIGN
117,Service request processed successfully,0.884767,True,False,True,3.227258,False,False,0.837468,0,BENIGN
118,Namespace policy check passed,0.798635,True,False,True,2.528851,False,False,0.898264,0,BENIGN
119,Service request processed successfully,0.842194,True,False,False,2.051104,False,False,0.721614,0,BENIGN
120,Database query executed in 12ms,0.766464,True,False,True,1.033464,False,False,0.878473,0,BENIGN
121,Token validated for service account payment-svc,0.791988,True,False,True,3.281099,False,False,0.895161,0,BENIGN
122,gRPC call completed with status 200,0.641404,True,False,False,4.048719,False,False,0.52929,1,STEALTH_ATTACK
123,Service mesh routing applied to request,0.869781,True,False,True,1.465153,False,False,0.84639,0,BENIGN
124,Request processed in 23ms,0.693891,True,False,True,2.288937,False,False,0.822389,0,BENIGN
125,Service request processed successfully,0.629555,True,False,True,7.96871,False,False,0.51681,1,STEALTH_ATTACK
126,User authentication completed for service account order-svc,0.810453,True,False,True,3.003308,False,False,0.85144,0,BENIGN
127,Service request processed successfully,0.533088,True,False,False,5.189594,False,True,0.429527,1,STEALTH_ATTACK
128,Service mesh routing applied to request,0.735247,True,False,True,3.116954,False,False,0.928936,0,BENIGN
129,Service request processed successfully,0.802683,True,False,True,2.610273,False,False,0.75532,0,BENIGN
130,Rejected request: unknown service identity presented,0.224584,False,True,False,32.635127,True,True,0.160131,1,OBVIOUS_ATTACK
131,Cache hit for request id 8821,0.970552,True,False,True,2.031157,False,False,0.872871,0,BENIGN
132,Service request processed successfully,0.692114,True,False,True,1.584414,False,False,0.815337,0,BENIGN
133,Service request processed successfully,0.88847,True,False,True,2.511731,False,False,0.697416,0,BENIGN
134,ALERT: Privilege escalation attempt detected in container,0.168562,False,True,False,41.061152,True,True,0.189288,1,OBVIOUS_ATTACK
135,Replay attack detected: token already consumed,0.071752,False,True,False,16.271568,True,True,0.197262,1,OBVIOUS_ATTACK
136,Invalid JWT signature - authentication failed for service,0.283728,True,True,False,28.616996,True,True,0.161108,1,OBVIOUS_ATTACK
137,Database query executed in 12ms,0.769162,True,False,True,4.033203,False,False,0.846942,0,BENIGN
138,Service mesh routing applied to request,0.875787,True,False,True,1.251052,False,False,0.815253,0,BENIGN
139,User authentication completed for service account order-svc,0.797098,True,False,True,3.069817,False,False,0.838416,0,BENIGN
140,Database query executed in 12ms,0.999925,True,False,True,2.636346,False,False,0.778972,0,BENIGN
141,Unauthorized API access attempt blocked at gateway,0.117614,False,True,False,27.513327,True,True,0.130973,1,OBVIOUS_ATTACK
142,Request routed to backend service,0.564973,True,True,False,6.493754,True,False,0.550811,1,STEALTH_ATTACK
143,Cross-namespace access denied - invalid token provided,0.200389,False,True,False,25.026557,True,True,0.061369,1,OBVIOUS_ATTACK
144,Service identity mismatch detected - request blocked,0.257057,False,True,False,33.33249,True,True,0.218206,1,OBVIOUS_ATTACK
145,Metric exported to prometheus endpoint,0.941055,True,False,True,2.652718,False,False,0.90898,0,BENIGN
146,Request processed in 23ms,0.862238,True,False,True,1.724061,False,False,0.924902,0,BENIGN
147,gRPC call to payment-service returned 200,0.819167,True,False,True,2.782971,False,False,0.878151,0,BENIGN
