analysis_type,parameter,threshold,weight_config,TP,FP,TN,FN,Accuracy,Precision,Recall,F1_Score,AUC_ROC,FPR,wi,wb,wn,wp,wt
threshold,threshold=0.30,0.3,balanced_default,885,0,3800,315,0.937,1.0,0.7375,0.848921,,0.0,,,,,
threshold,threshold=0.35,0.35,balanced_default,944,1,3799,256,0.9486,0.998942,0.786667,0.880186,,0.000263,,,,,
threshold,threshold=0.40,0.4,balanced_default,981,4,3796,219,0.9554,0.995939,0.8175,0.897941,,0.001053,,,,,
threshold,threshold=0.45,0.45,balanced_default,1009,13,3787,191,0.9592,0.98728,0.840833,0.908191,,0.003421,,,,,
threshold,threshold=0.50,0.5,balanced_default,1010,17,3783,190,0.9586,0.983447,0.841667,0.90705,,0.004474,,,,,
threshold,threshold=0.55,0.55,balanced_default,1044,17,3783,156,0.9654,0.983977,0.87,0.923485,,0.004474,,,,,
threshold,threshold=0.60,0.6,balanced_default,1100,19,3781,100,0.9762,0.983021,0.916667,0.948685,,0.005,,,,,
threshold,threshold=0.65,0.65,balanced_default,1146,134,3666,54,0.9624,0.895312,0.955,0.924194,,0.035263,,,,,
threshold,threshold=0.70,0.7,balanced_default,1150,268,3532,50,0.9364,0.811001,0.958333,0.878533,,0.070526,,,,,
threshold,threshold=0.75,0.75,balanced_default,1151,351,3449,49,0.92,0.766312,0.959167,0.851962,,0.092368,,,,,
threshold,threshold=0.80,0.8,balanced_default,1152,389,3411,48,0.9126,0.747567,0.96,0.840569,,0.102368,,,,,
threshold,threshold=0.85,0.85,balanced_default,1172,389,3411,28,0.9166,0.750801,0.976667,0.848968,,0.102368,,,,,
weight_config,identity_heavy,0.65,identity_heavy,1128,125,3675,72,0.9606,0.900239,0.94,0.91969,,0.032895,0.4,0.15,0.2,0.1,0.15
weight_config,balanced_default,0.65,balanced_default,1146,134,3666,54,0.9624,0.895312,0.955,0.924194,,0.035263,0.3,0.2,0.2,0.15,0.15
weight_config,behavior_heavy,0.65,behavior_heavy,1150,75,3725,50,0.975,0.938776,0.958333,0.948454,,0.019737,0.25,0.35,0.15,0.1,0.15
weight_config,network_heavy,0.65,network_heavy,1147,24,3776,53,0.9846,0.979505,0.955833,0.967524,,0.006316,0.25,0.15,0.35,0.1,0.15
weight_config,uniform,0.65,uniform,1134,161,3639,66,0.9546,0.875676,0.945,0.909018,,0.042368,0.2,0.2,0.2,0.2,0.2
