approach,AUC_ROC,FPR,TPR,threshold
Logs-Only,0.208333,0.0,0.0,inf
Logs-Only,0.208333,1.0,0.416667,1.0
Logs-Only,0.208333,1.0,1.0,0.0
Identity-Only_Tetragon_Cilium,0.134276,0.0,0.0,inf
Identity-Only_Tetragon_Cilium,0.134276,0.968947,0.2375,1.0
Identity-Only_Tetragon_Cilium,0.134276,1.0,1.0,0.0
Anomaly-Only_Falco,0.101053,0.0,0.0,inf
Anomaly-Only_Falco,0.101053,0.952895,0.155,1.0
Anomaly-Only_Falco,0.101053,1.0,1.0,0.0
Identity+Anomaly_KubeArmor,0.089649,0.0,0.0,inf
Identity+Anomaly_KubeArmor,0.089649,0.967368,0.146667,1.0
Identity+Anomaly_KubeArmor,0.089649,1.0,1.0,0.0
CA-eBPF_Proposed,0.99474,0.0,0.0,inf
CA-eBPF_Proposed,0.99474,0.0,0.6075,1.0
CA-eBPF_Proposed,0.99474,0.0,0.764167,0.673448
CA-eBPF_Proposed,0.99474,0.000263,0.764167,0.673379
CA-eBPF_Proposed,0.99474,0.000263,0.8075,0.613983
CA-eBPF_Proposed,0.99474,0.000526,0.8075,0.613408
CA-eBPF_Proposed,0.99474,0.000526,0.8175,0.605145
CA-eBPF_Proposed,0.99474,0.001316,0.8175,0.597925
CA-eBPF_Proposed,0.99474,0.001316,0.826667,0.590194
CA-eBPF_Proposed,0.99474,0.001842,0.826667,0.589512
CA-eBPF_Proposed,0.99474,0.001842,0.8275,0.587964
CA-eBPF_Proposed,0.99474,0.002105,0.8275,0.587376
CA-eBPF_Proposed,0.99474,0.002105,0.829167,0.585542
CA-eBPF_Proposed,0.99474,0.002368,0.829167,0.58487
CA-eBPF_Proposed,0.99474,0.002368,0.8325,0.58347
CA-eBPF_Proposed,0.99474,0.002632,0.8325,0.57984
CA-eBPF_Proposed,0.99474,0.002632,0.84,0.563649
CA-eBPF_Proposed,0.99474,0.003158,0.84,0.561394
CA-eBPF_Proposed,0.99474,0.003158,0.840833,0.555824
CA-eBPF_Proposed,0.99474,0.004474,0.840833,0.525099
CA-eBPF_Proposed,0.99474,0.004474,0.896667,0.415652
CA-eBPF_Proposed,0.99474,0.004737,0.896667,0.41527
CA-eBPF_Proposed,0.99474,0.004737,0.9125,0.403102
CA-eBPF_Proposed,0.99474,0.005,0.9125,0.403076
CA-eBPF_Proposed,0.99474,0.005,0.923333,0.397381
CA-eBPF_Proposed,0.99474,0.005526,0.923333,0.397139
CA-eBPF_Proposed,0.99474,0.005526,0.926667,0.393045
CA-eBPF_Proposed,0.99474,0.005789,0.926667,0.391824
CA-eBPF_Proposed,0.99474,0.005789,0.933333,0.386227
CA-eBPF_Proposed,0.99474,0.007105,0.933333,0.382043
CA-eBPF_Proposed,0.99474,0.007105,0.934167,0.381338
CA-eBPF_Proposed,0.99474,0.007368,0.934167,0.381265
CA-eBPF_Proposed,0.99474,0.007368,0.935,0.380728
CA-eBPF_Proposed,0.99474,0.007632,0.935,0.380657
CA-eBPF_Proposed,0.99474,0.007632,0.9375,0.379044
CA-eBPF_Proposed,0.99474,0.008158,0.9375,0.378519
CA-eBPF_Proposed,0.99474,0.008158,0.938333,0.377675
CA-eBPF_Proposed,0.99474,0.008421,0.938333,0.377233
CA-eBPF_Proposed,0.99474,0.008421,0.939167,0.377162
CA-eBPF_Proposed,0.99474,0.009211,0.939167,0.376461
CA-eBPF_Proposed,0.99474,0.009211,0.94,0.375523
CA-eBPF_Proposed,0.99474,0.009474,0.94,0.3752
CA-eBPF_Proposed,0.99474,0.009474,0.941667,0.374947
CA-eBPF_Proposed,0.99474,0.010263,0.941667,0.373954
CA-eBPF_Proposed,0.99474,0.010263,0.9425,0.373827
CA-eBPF_Proposed,0.99474,0.010789,0.9425,0.373398
CA-eBPF_Proposed,0.99474,0.010789,0.943333,0.373385
CA-eBPF_Proposed,0.99474,0.011579,0.943333,0.371851
CA-eBPF_Proposed,0.99474,0.011579,0.944167,0.371635
CA-eBPF_Proposed,0.99474,0.012105,0.944167,0.370696
CA-eBPF_Proposed,0.99474,0.012105,0.945,0.370245
CA-eBPF_Proposed,0.99474,0.013421,0.945,0.368704
CA-eBPF_Proposed,0.99474,0.013421,0.945833,0.368668
CA-eBPF_Proposed,0.99474,0.019211,0.945833,0.362633
CA-eBPF_Proposed,0.99474,0.019211,0.946667,0.362336
CA-eBPF_Proposed,0.99474,0.021579,0.946667,0.360663
CA-eBPF_Proposed,0.99474,0.021579,0.948333,0.360369
CA-eBPF_Proposed,0.99474,0.022105,0.948333,0.360111
CA-eBPF_Proposed,0.99474,0.022105,0.949167,0.360086
CA-eBPF_Proposed,0.99474,0.023158,0.949167,0.359838
CA-eBPF_Proposed,0.99474,0.023158,0.95,0.359803
CA-eBPF_Proposed,0.99474,0.023684,0.95,0.35953
CA-eBPF_Proposed,0.99474,0.023684,0.950833,0.359344
CA-eBPF_Proposed,0.99474,0.025526,0.950833,0.357689
CA-eBPF_Proposed,0.99474,0.025526,0.951667,0.357687
CA-eBPF_Proposed,0.99474,0.026316,0.951667,0.357055
CA-eBPF_Proposed,0.99474,0.026316,0.9525,0.357026
CA-eBPF_Proposed,0.99474,0.026842,0.9525,0.356382
CA-eBPF_Proposed,0.99474,0.026842,0.953333,0.356131
CA-eBPF_Proposed,0.99474,0.027632,0.953333,0.355988
CA-eBPF_Proposed,0.99474,0.027632,0.954167,0.355447
CA-eBPF_Proposed,0.99474,0.029737,0.954167,0.354673
CA-eBPF_Proposed,0.99474,0.029737,0.955,0.354636
CA-eBPF_Proposed,0.99474,0.044737,0.955,0.34343
CA-eBPF_Proposed,0.99474,0.044737,0.955833,0.343424
CA-eBPF_Proposed,0.99474,0.051579,0.955833,0.335452
CA-eBPF_Proposed,0.99474,0.051579,0.956667,0.335334
CA-eBPF_Proposed,0.99474,0.052895,0.956667,0.333948
CA-eBPF_Proposed,0.99474,0.052895,0.958333,0.333764
CA-eBPF_Proposed,0.99474,0.086842,0.958333,0.26061
CA-eBPF_Proposed,0.99474,0.086842,0.959167,0.260276
CA-eBPF_Proposed,0.99474,0.101316,0.959167,0.234393
CA-eBPF_Proposed,0.99474,0.101316,0.96,0.230993
CA-eBPF_Proposed,0.99474,0.102368,0.96,0.212558
CA-eBPF_Proposed,0.99474,0.102368,1.0,0.11622
CA-eBPF_Proposed,0.99474,1.0,1.0,0.001013
