event_id,event_type,ground_truth_label,Iv_identity_score,Bc_behavioral_score,Nt_network_telemetry_score,Pc_process_integrity_score,Tr_trace_correlation_score,weighted_sum_before_Ra,Ra_anomaly_penalty,final_trust_score_Ts,predicted_label
0,BENIGN,0,1.0,0.888997,0.831256,1.0,0.0,0.79405,0.1,0.69405,0
1,BENIGN,0,1.0,0.691782,0.915845,1.0,1.0,0.921525,0.0,0.921525,0
2,BENIGN,0,1.0,0.753712,0.916545,1.0,1.0,0.934051,0.2,0.734051,0
3,BENIGN,0,1.0,0.843432,0.877927,1.0,1.0,0.944272,0.0,0.944272,0
4,BENIGN,0,1.0,0.957436,0.944056,1.0,1.0,0.980298,0.0,0.980298,0
5,BENIGN,0,1.0,0.873527,0.992951,1.0,1.0,0.973296,0.0,0.973296,0
6,BENIGN,0,1.0,0.86119,0.847092,1.0,1.0,0.941656,0.0,0.941656,0
7,BENIGN,0,1.0,0.829778,0.904986,1.0,1.0,0.946953,0.0,0.946953,0
8,BENIGN,0,1.0,0.860933,0.907246,1.0,1.0,0.953636,0.0,0.953636,0
9,BENIGN,0,1.0,0.696151,0.941664,1.0,1.0,0.927563,0.0,0.927563,0
10,BENIGN,0,1.0,0.72954,0.945579,1.0,1.0,0.935024,0.0,0.935024,0
11,BENIGN,0,1.0,0.850019,0.888912,1.0,1.0,0.947786,0.0,0.947786,0
12,BENIGN,0,1.0,0.740665,0.846722,1.0,1.0,0.917477,0.0,0.917477,0
13,BENIGN,0,1.0,0.827776,0.929717,1.0,1.0,0.951499,0.0,0.951499,0
14,BENIGN,0,1.0,0.884131,0.845257,1.0,1.0,0.945878,0.0,0.945878,0
15,BENIGN,0,1.0,0.761672,0.868627,1.0,1.0,0.92606,0.0,0.92606,0
16,BENIGN,0,1.0,0.839939,0.916921,1.0,1.0,0.951372,0.0,0.951372,0
17,BENIGN,0,1.0,0.897794,0.9652,1.0,1.0,0.972599,0.0,0.972599,0
18,BENIGN,0,1.0,0.799335,0.854113,1.0,1.0,0.93069,0.0,0.93069,0
19,BENIGN,0,1.0,0.713383,0.91593,1.0,1.0,0.925863,0.0,0.925863,0
20,BENIGN,0,0.5,0.857018,0.873718,1.0,1.0,0.796147,0.15,0.646147,1
21,BENIGN,0,1.0,0.810071,0.951991,1.0,1.0,0.952412,0.0,0.952412,0
22,BENIGN,0,1.0,0.843855,0.92237,1.0,1.0,0.953245,0.0,0.953245,0
23,BENIGN,0,1.0,0.788638,0.914811,1.0,1.0,0.94069,0.0,0.94069,0
24,STEALTH_ATTACK,1,1.0,0.475826,0.693024,0.0,0.0,0.53377,0.25,0.28377,1
